utterance,gold_intent,facts,constraints,allowed_intents,suppressed_intents
enable query caching on the database,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
deploy the sidecar proxy to all pods,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
update the tls cipher suite configuration,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the storage migration to the new array,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
scale the ingress controller replicas,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply the pod security policy changes,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable audit logging on the api gateway,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart the message queue consumers,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the retry policy with exponential backoff,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the index optimization on the search cluster,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
set up the cross-region replication,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable http2 on the reverse proxy,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply the resource quota to the namespace,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
execute the rolling restart of all microservices,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the connection timeout to 30 seconds,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the compliance scan on all servers,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable the new caching strategy globally,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
deploy the database proxy layer,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
update the container image to the patched version,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the performance benchmark suite,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the dead letter queue for failed messages,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable request tracing across all services,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply the storage class changes for the volumes,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart the gossip protocol seed nodes,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the data migration script for the new schema,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the circuit breaker thresholds,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable the web application firewall rules,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply the cpu and memory limits to all pods,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
trigger the automated rollback procedure,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
set up the service mesh mutual tls,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the database failover test,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the log retention policy to 90 days,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable the distributed tracing collector,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply the egress network policy,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart the coordination service,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the cluster health verification script,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the incident from yesterday,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': True}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a summary of alerts for last week,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': True}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize system health for app payments,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a brief on today's outages,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': True}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize what actions were taken,summarization,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
summarize the error logs,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me incident summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize deployment changes,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide metrics summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize alert trends,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me event summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize service status,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide performance summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize resource usage,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me uptime summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize configuration changes,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide security incident summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize capacity report,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me operational summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize troubleshooting steps,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide maintenance summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize backup status,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me compliance summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize test results,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide health check summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize user impact,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me cost summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize dependency status,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide ecosystem summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize network traffic,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me error rate summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize database performance,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide cache hit summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize queue depth,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me latency summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize throughput metrics,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide availability summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize scaling events,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me replication summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize cluster health,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide node status summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize deployment timeline,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me rollback summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize incident timeline,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide weekly report summary,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize monthly trends,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a rundown of the production issues this week,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the api response times over the past month,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a brief on the infrastructure costs this quarter,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the changes made during the maintenance window,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a summary of failed jobs in the last 24 hours,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': True}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the security audit findings,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a recap of the database migration results,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the load test results from yesterday,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': True}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me an overview of the release notes for version 5.0,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the sla compliance for the past month,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a brief on the disaster recovery drill results,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the on-call handoff notes,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a summary of the patch management status,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the network topology changes this sprint,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide an overview of the monitoring coverage gaps,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the capacity planning recommendations,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a brief on the vendor incident reports,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the access control audit results,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a summary of the ci cd pipeline performance,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the container orchestration metrics,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a recap of the storage utilization trends,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the ssl certificate expiry status across services,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a brief on the api deprecation timeline,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the cross-team dependency updates,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me an overview of the error budget consumption,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the feature flag rollout status,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a summary of the dns query patterns,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the cold storage archival progress,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a brief on the kubernetes cluster upgrade status,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the third party integration health,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a recap of the rate limiting effectiveness,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the canary deployment observations,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a summary of the log ingestion volume trends,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the backup verification test outcomes,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide an overview of the mean time to recovery metrics,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the service mesh traffic routing changes,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a brief on the auto-scaling behavior this week,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the compliance remediation progress,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a summary of the data replication lag trends,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the incident postmortem action items,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me an overview of the alerting rule changes,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the performance optimization results,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a recap of the server provisioning activities,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the vulnerability scan findings,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me a brief on the edge cache performance,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the message queue throughput metrics,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provide a summary of the connection pool utilization,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
summarize the batch processing job completion rates,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
give me an overview of the system resource allocation,summarization,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
