utterance,gold_intent,parsed_intent,entity,symptom,time_context,reasoning_mode
configure the keepalive connections on haproxy,execution,execution,reverse_proxy,,,action
can you look into the dns resolution failure,investigate,investigate,dns,failure,,diagnostic
give me an overview of the deployment pipeline health,summarization,summarization,ci_cd_pipeline,,,reporting
tell me about mars,out_of_scope,out_of_scope,,,,reject
what caused the pod evictions in kubernetes,investigate,investigate,pod,,,diagnostic
summarize the data pipeline reliability metrics,summarization,summarization,ci_cd_pipeline,,,reporting
tell me about the solar system,out_of_scope,out_of_scope,message_queue,,,reject
provide a brief on the continuous delivery pipeline metrics,summarization,summarization,ci_cd_pipeline,,,reporting
give me error rate summary,summarization,summarization,error_budget,error,,reporting
enable the database connection pooling proxy,execution,execution,reverse_proxy,,,action
enable debug logging,execution,execution,logs,,,action
look into the memory allocation failure in container,investigate,investigate,container_image,failure,,diagnostic
why is the kubernetes cronjob missing executions,investigate,investigate,kubernetes_node,,,diagnostic
analyze the log rotation failure on app-server-12,investigate,investigate,logs,failure,,diagnostic
what is causing the high p99 latency,investigate,investigate,,latency_high,,diagnostic
tell me about the life cycle of a butterfly,out_of_scope,out_of_scope,message_queue,,,reject
why is the service mesh sidecar consuming too much cpu,investigate,investigate,service_mesh,,,diagnostic
give me an overview of the application profiling insights,summarization,summarization,message_queue,,,reporting
tell me about the ice age,out_of_scope,out_of_scope,message_queue,,,reject
execute the tenant data migration script,execution,execution,message_queue,,,action
tell me about languages,out_of_scope,out_of_scope,,,,reject
restart monitoring agent,execution,execution,pod,,,action
run the ansible playbook for server hardening,execution,execution,metrics_server,,,action
provide metrics summary,summarization,summarization,metrics,,,reporting
what is the capital of france,out_of_scope,out_of_scope,api,,,reject
enable the secrets manager rotation schedule,execution,execution,certificate,,,action
investigate the transaction deadlock pattern in the db,investigate,investigate,database,,,diagnostic
summarize throughput metrics,summarization,summarization,metrics,,,reporting
summarize the distributed lock acquisition patterns,summarization,summarization,distributed_tracing,,,reporting
analyze the traffic imbalance across availability zones,investigate,investigate,service,,,diagnostic
investigate the grpc deadline exceeded errors,investigate,investigate,message_queue,error,,diagnostic
configure the tcp keepalive settings on the host,execution,execution,message_queue,,,action
what is the largest desert in the world,out_of_scope,out_of_scope,,,,reject
analyze what changed before the performance degraded,investigate,investigate,,degraded,,diagnostic
configure the jenkins pipeline webhook trigger,execution,execution,ci_cd_pipeline,,,action
provide a brief on the idle resource cost across workloads,summarization,summarization,cost_trends,,,reporting
give me a recap of the cluster autoscaler decisions,summarization,summarization,horizontal_pod_autoscaler,,,reporting
why is the WAL replay taking hours on postgres,investigate,out_of_scope,,,,reject
summarize the weekly change failure rate,summarization,summarization,dns,failure,,reporting
why is the queue consumer lagging behind producer,investigate,investigate,message_queue,,,diagnostic
what is the standard model in physics,out_of_scope,out_of_scope,,,,reject
apply the ingress rate limit rules,execution,execution,rate_limiting,,,action
enable the sticky session on the load balancer,execution,execution,load_balancer,,,action
apply the kernel security update and reboot,execution,execution,message_queue,,,action
who wrote frankenstein,out_of_scope,out_of_scope,,,,reject
reset the alert suppression window,execution,execution,alerting,,,action
provide a brief on today's outages,summarization,out_of_scope,,,today,reject
who is joan of arc,out_of_scope,out_of_scope,kubernetes_node,,,reject
how do I write a novel,out_of_scope,out_of_scope,,,,reject
summarize the dependency version drift across microservices,summarization,summarization,service,,,reporting
why is the config reload triggering connection draining,investigate,investigate,connection_pool,,,diagnostic
check the reason for the slowdown in the api fanout,investigate,investigate,api,slow,,diagnostic
why is there no response from the upstream service,investigate,investigate,service,,,diagnostic
summarize the vulnerability scan findings,summarization,summarization,message_queue,,,reporting
apply the terraform plan for infrastructure changes,execution,execution,cost_anomalies,,,action
who is vincent van gogh,out_of_scope,out_of_scope,kubernetes_node,,,reject
scale the ingress controller replicas,execution,execution,read_replicas,,,action
give me incident summary,summarization,summarization,incident,,,reporting
what is osmosis,out_of_scope,out_of_scope,kubernetes_node,,,reject
update the rbac role bindings for the new team,execution,execution,message_queue,,,action
check the tcp retransmission rate on the interface,investigate,out_of_scope,,,,reject
summarize the change-failure rate for the current quarter,summarization,summarization,,failure,,reporting
why is the queue depth continuously growing,investigate,investigate,message_queue,,,diagnostic
trigger the ci cd pipeline for the release branch,execution,execution,ci_cd_pipeline,,,action
provide a brief on the database query cost distribution,summarization,summarization,database,,,reporting
how do I grow tomatoes at home,out_of_scope,out_of_scope,,,,reject
check the firewall rules blocking traffic,investigate,investigate,health_check,,,diagnostic
why is the graphql resolver timing out,investigate,investigate,,timeout,,diagnostic
replace the failed disk in the raid array,execution,execution,disk_io,failure,,action
investigate timeout errors,investigate,investigate,,error,,diagnostic
why is the write throughput lower than expected,investigate,out_of_scope,,,,reject
summarize the load distribution by availability zone,summarization,summarization,availability_sla,,,reporting
tell me about the silk road,out_of_scope,out_of_scope,message_queue,,,reject
who won the world cup,out_of_scope,out_of_scope,message_queue,,,reject
hello how are you,out_of_scope,out_of_scope,,,,reject
why is the grpc stream being terminated early,investigate,investigate,message_ack,,,diagnostic
analyze the query optimizer choosing a bad plan,investigate,investigate,database,,,diagnostic
apply the blkio throttle policy to the container,execution,out_of_scope,,,,reject
give me a summary of the recent platform incidents by tier,summarization,summarization,incident,,recent,reporting
why is server host123 cpu high,investigate,investigate,metrics_server,,,diagnostic
how do I learn to draw,out_of_scope,out_of_scope,,,,reject
summarize the memory leak patterns across services,summarization,summarization,service,leak,,reporting
examine the audit logs for suspicious activity,investigate,investigate,logs,,,diagnostic
investigate the file descriptor leak,investigate,investigate,message_queue,leak,,diagnostic
what is causing the tcp connection reset by peer,investigate,investigate,connection_pool,,,diagnostic
analyze the jvm thread contention issue,investigate,investigate,message_queue,,,diagnostic
what is quantum physics,out_of_scope,out_of_scope,kubernetes_node,,,reject
rotate the ssh host keys on the new server,execution,out_of_scope,,,,reject
investigate the service crash after config reload,investigate,investigate,service,crash,,diagnostic
what is buoyancy,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a brief on the node termination event summary,summarization,summarization,kubernetes_node,,,reporting
summarize the toil reduction progress this quarter,summarization,summarization,message_queue,,this_quarter,reporting
investigate the certificate revocation check failure,investigate,investigate,certificate,failure,,diagnostic
why is the query result cache warming too slowly,investigate,investigate,database,slow,,diagnostic
investigate the high iowait on storage server,investigate,investigate,storage,,,diagnostic
why is the service not draining connections before termination,investigate,investigate,service,,,diagnostic
configure the nginx worker processes,execution,execution,message_queue,,,action
summarize the queue consumer performance metrics,summarization,summarization,message_queue,,,reporting
give me a summary of the request routing efficiency,summarization,summarization,message_queue,,,reporting
give me an overview of the observability stack capacity,summarization,summarization,observability_stack,,,reporting
summarize the real user monitoring metrics for this week,summarization,summarization,metrics,,this_week,reporting
how do I make perfect scrambled eggs,out_of_scope,out_of_scope,,,,reject
apply the password complexity policy update,execution,execution,network_policy,,,action
provide a recap of the production readiness review results,summarization,summarization,message_queue,,,reporting
look into the consistent hashing rebalance issue,investigate,investigate,message_queue,,,diagnostic
how do I mountain climb,out_of_scope,out_of_scope,,,,reject
run the ansible playbook for the new server setup,execution,out_of_scope,,,,reject
summarize the cross-team dependency resolution status,summarization,summarization,service,,,reporting
analyze the impact of the dns change on traffic,investigate,investigate,dns,,,diagnostic
rotate the vault root token,execution,execution,message_queue,,,action
investigate the service endpoint returning wrong data,investigate,investigate,service,error,,diagnostic
summarize the request timeout frequency by endpoint,summarization,summarization,api,timeout,,reporting
configure the sssd daemon for the new domain,execution,execution,message_queue,,,action
what is causing the high swap usage on node-5,investigate,investigate,kubernetes_node,,,diagnostic
update the container image to the patched version,execution,execution,container_image,,,action
why is the pod failing the security context check,investigate,investigate,pod,failure,,diagnostic
why is the replication factor not being maintained,investigate,investigate,message_ack,,,diagnostic
summarize the pod resource efficiency across namespaces,summarization,summarization,pod,,,reporting
reconfigure the reverse proxy routing rules,execution,execution,reverse_proxy,,,action
disable the deprecated api endpoint,execution,execution,api,,,action
look into the systemd service restart loop,investigate,investigate,service,restart_loop,,diagnostic
who is dante alighieri,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me a brief on the kubernetes cluster upgrade status,summarization,summarization,kubernetes_cluster,,,reporting
who is thomas jefferson,out_of_scope,out_of_scope,kubernetes_node,,,reject
investigate the cross-region replication delay,investigate,investigate,message_queue,,,diagnostic
give me a summary of the network policy audit findings,summarization,summarization,network_policy,,,reporting
what is the lifespan of a redwood tree,out_of_scope,out_of_scope,,,,reject
reset the admin password on the management console,execution,execution,message_queue,,,action
who is rumi,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a recap of the multi-tenancy isolation audit,summarization,summarization,network_policy,,,reporting
summarize the slo violation events this month,summarization,summarization,message_queue,,,reporting
analyze the performance degradation,investigate,investigate,,degraded,,diagnostic
write a poem about servers,out_of_scope,out_of_scope,,,,reject
what is a red giant star,out_of_scope,out_of_scope,kubernetes_node,,,reject
set the swappiness to zero on database hosts,execution,execution,database,,,action
why is the tracing collector losing spans,investigate,investigate,distributed_tracing,,,diagnostic
decommission the old server from the cluster,execution,execution,kubernetes_cluster,,,action
taint the node to prevent general scheduling,execution,execution,kubernetes_node,,,action
what is marine biology,out_of_scope,out_of_scope,logs,,,reject
give me a brief on the edge cache performance,summarization,summarization,cache,,,reporting
provide a recap of the cloud provider incident impact,summarization,summarization,incident,,,reporting
give me an overview of the infrastructure tagging compliance,summarization,summarization,cost_anomalies,,,reporting
how do I make candles,out_of_scope,out_of_scope,,,,reject
rotate the service account credentials,execution,execution,service,,,action
increase the max connections on the postgres primary,execution,execution,message_queue,,,action
who wrote moby dick,out_of_scope,out_of_scope,,,,reject
enable the fault injection policy in the service mesh,execution,execution,service_mesh,,,action
how can I learn spanish,out_of_scope,out_of_scope,,,,reject
analyze the impact of schema change on query performance,investigate,investigate,database,,,diagnostic
tell me about stonehenge,out_of_scope,out_of_scope,,,,reject
tell me about the iron age,out_of_scope,out_of_scope,message_queue,,,reject
configure the grpc timeout on the proxy layer,execution,execution,reverse_proxy,timeout,,action
tell me about volcanoes,out_of_scope,out_of_scope,,,,reject
investigate the unexpected pod termination,investigate,investigate,pod,,,diagnostic
what is ecological succession,out_of_scope,out_of_scope,logs,,,reject
investigate the abnormal tls session ticket rotation rate,investigate,investigate,tls,,,diagnostic
what caused the routing table mismatch between zones,investigate,investigate,message_queue,,,diagnostic
how do I do origami,out_of_scope,out_of_scope,,,,reject
investigate the missing index causing full table scans,investigate,investigate,message_queue,,,diagnostic
what is a meteor shower,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me a high-level overview of what happened today,summarization,out_of_scope,,,today,reject
configure the retry budget on the service,execution,execution,service,,,action
summarize the cold storage archival progress,summarization,summarization,storage,,,reporting
analyze the correlation between load and response times,investigate,investigate,incident,latency_high,,diagnostic
tell me about the great depression,out_of_scope,out_of_scope,message_queue,,,reject
give me a summary of the patch management status,summarization,summarization,service,,,reporting
create the service account with least privilege,execution,execution,service,,,action
check what is causing the connection saturation on api,investigate,investigate,api,saturation,,diagnostic
investigate the stalled compaction job on rocksdb,investigate,investigate,database,,,diagnostic
enable the response caching on the graphql layer,execution,out_of_scope,,,,reject
apply the pod security admission config,execution,execution,pod,,,action
how do I make mozzarella,out_of_scope,out_of_scope,,,,reject
summarize the integration test results from latest build,summarization,summarization,load_test,,,reporting
provide a recap of the weekly change freeze exceptions,summarization,summarization,dns,,,reporting
who wrote don quixote,out_of_scope,out_of_scope,,,,reject
how do I build a birdfeeder,out_of_scope,out_of_scope,,,,reject
delete the orphaned persistent volume claim,execution,execution,volume_snapshot,,,action
investigate the network partition between zones,investigate,investigate,network_policy,,,diagnostic
analyze the fan-in bottleneck in the aggregation layer,investigate,investigate,disk_io,bottleneck,,diagnostic
how do I make kimchi,out_of_scope,out_of_scope,,,,reject
check why the autoscaler is not triggering,investigate,investigate,horizontal_pod_autoscaler,,,diagnostic
summarize the distributed cache hit rate by region,summarization,summarization,cache,,,reporting
check why cron jobs are failing,investigate,investigate,cron_job,failure,,diagnostic
check why the reverse proxy is dropping headers,investigate,investigate,reverse_proxy,drop,,diagnostic
configure the ipvs load balancing mode on the node,execution,execution,kubernetes_node,,,action
who is michelangelo,out_of_scope,out_of_scope,kubernetes_node,,,reject
investigate the shard imbalance in the search cluster,investigate,investigate,kubernetes_cluster,,,diagnostic
who wrote hamlet,out_of_scope,out_of_scope,,,,reject
what is a quasar,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a brief on the infrastructure costs this quarter,summarization,summarization,cost_trends,,this_quarter,reporting
summarize the performance optimization results,summarization,out_of_scope,,,,reject
configure the adaptive concurrency limit,execution,execution,message_queue,,,action
rotate the database master password,execution,execution,database,,,action
analyze the rollout pause caused by failed canary metrics,investigate,investigate,metrics,failure,,diagnostic
who wrote the divine comedy,out_of_scope,out_of_scope,message_queue,,,reject
how do I dance,out_of_scope,out_of_scope,,,,reject
what is the capital of japan,out_of_scope,out_of_scope,api,,,reject
why is the cache invalidation not propagating,investigate,investigate,cache,,,diagnostic
drain connections gracefully,execution,out_of_scope,,,,reject
check what's causing the bottleneck,investigate,investigate,disk_io,bottleneck,,diagnostic
check why prometheus is showing no data,investigate,investigate,health_check,,,diagnostic
what is causing the oauth token refresh failures,investigate,investigate,tls,failure,,diagnostic
tell me about the league of nations,out_of_scope,out_of_scope,message_queue,,,reject
investigate the message fanout causing consumer lag,investigate,investigate,message_queue,,,diagnostic
enable the software bill of materials generation,execution,execution,message_queue,,,action
disable the auto-scaling for the maintenance window,execution,out_of_scope,,,,reject
what are the best hiking trails in europe,out_of_scope,out_of_scope,message_queue,,,reject
what is the deepest ocean,out_of_scope,out_of_scope,,,,reject
summarize cluster health,summarization,summarization,kubernetes_cluster,,,reporting
analyze network latency issues,investigate,investigate,network_policy,latency_high,,diagnostic
import the existing resource into the terraform state,execution,out_of_scope,,,,reject
tell me about the phoenicians,out_of_scope,out_of_scope,message_queue,,,reject
delete the datadog monitors that are no longer valid,execution,execution,message_queue,,,action
scale down resources,execution,out_of_scope,,,,reject
tune the jvm garbage collector flags,execution,execution,message_queue,,,action
can you sing a song,out_of_scope,out_of_scope,,,,reject
apply the log parsing rule update to the pipeline,execution,execution,ci_cd_pipeline,,,action
set the timeout policy for the external api call,execution,execution,api,timeout,,action
tell me about koalas,out_of_scope,out_of_scope,,,,reject
why is the ssl offloader causing increased latency,investigate,investigate,,latency_high,,diagnostic
check the dead letter queue accumulation,investigate,investigate,message_queue,,,diagnostic
restart the cron scheduler service,execution,execution,service,,,action
investigate the repeated auth token expiry in logs,investigate,investigate,logs,,,diagnostic
summarize the service restart count by host,summarization,summarization,service,,,reporting
what is the population of brazil,out_of_scope,out_of_scope,,,,reject
apply the seccomp profile to the container,execution,out_of_scope,,,,reject
trigger the zfs scrub on the storage pool,execution,execution,storage,,,action
analyze the open file handle count on prod servers,investigate,investigate,message_queue,,,diagnostic
what is the water cycle,out_of_scope,out_of_scope,,,,reject
what is geology,out_of_scope,out_of_scope,logs,,,reject
flush the arp cache on the router,execution,execution,cache,,,action
configure the alertmanager routing rules,execution,execution,message_queue,,,action
configure the hugepage allocation at boot,execution,execution,message_queue,,,action
apply the sbom attestation to the build,execution,execution,message_queue,,,action
summarize the resource quota consumption by namespace,summarization,summarization,namespace,,,reporting
create a configmap from the updated settings file,execution,execution,message_queue,,,action
what is dark matter,out_of_scope,out_of_scope,kubernetes_node,,,reject
what is causing the spike in connection establishment time,investigate,investigate,connection_pool,spike,,diagnostic
check the anomaly in the request rate pattern,investigate,out_of_scope,,,,reject
what caused the burst in disk writes,investigate,investigate,disk_io,,,diagnostic
what is the meaning of life,out_of_scope,out_of_scope,,,,reject
deploy the sidecar proxy to all pods,execution,execution,pod,,,action
what triggered the auto-scaling event,investigate,investigate,message_queue,,,diagnostic
summarize the release rollback frequency and causes,summarization,summarization,release_frequency,,,reporting
provide a brief on the network bandwidth usage,summarization,summarization,network_policy,,,reporting
enable request throttling,execution,out_of_scope,,,,reject
enable the tcp fast open on the server,execution,out_of_scope,,,,reject
who is confucius,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me an overview of the dependency health status,summarization,summarization,service,,,reporting
how do I make beef jerky,out_of_scope,out_of_scope,,,,reject
how do I fly a kite,out_of_scope,out_of_scope,,,,reject
look into the storage IOPS issue,investigate,investigate,storage,,,diagnostic
investigate the certificate authority chain trust failure,investigate,investigate,certificate,failure,,diagnostic
summarize the number of open vulnerabilities by severity,summarization,out_of_scope,,,,reject
what is the big bang theory,out_of_scope,out_of_scope,,,,reject
run the compliance scan on all servers,execution,execution,message_queue,,,action
investigate connection pool exhaustion,investigate,investigate,connection_pool,,,diagnostic
investigate the permission denied errors in logs,investigate,investigate,logs,error,,diagnostic
what is a nebula,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a brief on the alerting rule coverage gaps,summarization,summarization,alerting,,,reporting
configure the node local dns cache,execution,execution,kubernetes_node,,,action
give me a summary of the deployment frequency trends this year,summarization,summarization,deployment,,,reporting
what is causing the high variance in response times,investigate,investigate,incident,latency_high,,diagnostic
enable auto-healing,execution,out_of_scope,,,,reject
start the log streaming pipeline,execution,execution,ci_cd_pipeline,,,action
how do I bake a cake,out_of_scope,out_of_scope,,,,reject
what is causing the tls certificate mismatch errors,investigate,investigate,tls,error,,diagnostic
investigate the abnormal memory growth after restart,investigate,investigate,message_queue,,,diagnostic
tell me about the renaissance art,out_of_scope,out_of_scope,message_queue,,,reject
investigate the spike in 5xx errors after the release,investigate,investigate,,error,,diagnostic
summarize the change management board decisions,summarization,summarization,dns,,,reporting
unlock the terraform state after failed apply,execution,execution,message_queue,failure,,action
check why the rate limiter is not enforcing limits,investigate,investigate,kubernetes_node,,,diagnostic
what is causing the database connection timeout,investigate,investigate,database,timeout,,diagnostic
investigate the asymmetric network routing issue,investigate,investigate,network_policy,,,diagnostic
give me a summary of the cost allocation by team,summarization,summarization,cost_trends,,,reporting
tell me about the age of exploration,out_of_scope,out_of_scope,message_queue,,,reject
run the kube-bench cis benchmark scan,execution,execution,message_queue,,,action
tell me about octopuses,out_of_scope,out_of_scope,,,,reject
who is hypatia,out_of_scope,out_of_scope,kubernetes_node,,,reject
investigate the disk write latency on ssd array,investigate,investigate,disk_io,latency_high,,diagnostic
why is the prometheus rule evaluation too slow,investigate,investigate,alerting,slow,,diagnostic
provide a brief on the backup restore test outcomes,summarization,summarization,backup,,,reporting
how do I make croissants at home,out_of_scope,out_of_scope,,,,reject
investigate the unexpected high fan-out in the topology,investigate,investigate,logs,,,diagnostic
who painted the mona lisa,out_of_scope,out_of_scope,message_queue,,,reject
check network connectivity on prod-env,investigate,investigate,health_check,,,diagnostic
summarize the failover test results from last friday,summarization,summarization,load_test,failure,,reporting
enable request tracing across all services,execution,execution,service,,,action
clear the zfs arc cache to free memory,execution,execution,cache,,,action
investigate the large object heap pressure in dotnet,investigate,investigate,storage,,,diagnostic
what is the distance to the moon,out_of_scope,out_of_scope,,,,reject
what is a parallax,out_of_scope,out_of_scope,kubernetes_node,,,reject
what caused the surge in rejected requests,investigate,investigate,message_queue,,,diagnostic
investigate the service port conflict after update,investigate,investigate,service,,,diagnostic
apply configuration changes,execution,out_of_scope,,,,reject
revoke the compromised api token,execution,execution,api,,,action
provide a brief on the rate limiting effectiveness report,summarization,summarization,rate_limiting,,,reporting
apply the network acl changes to the subnet,execution,out_of_scope,,,,reject
provide availability summary,summarization,summarization,availability_sla,,,reporting
tell me about the aztec calendar,out_of_scope,out_of_scope,message_queue,,,reject
run the flamegraph capture on the cpu hotspot,execution,execution,message_queue,,,action
how do I knit a scarf,out_of_scope,out_of_scope,,,,reject
force a manual dns propagation check,execution,execution,dns,,,action
why does the query return inconsistent results,investigate,investigate,database,,,diagnostic
who is plato,out_of_scope,out_of_scope,kubernetes_node,,,reject
why is the config sync lagging behind the control plane,investigate,out_of_scope,,,,reject
provide a brief on the secrets rotation completion status,summarization,summarization,service,,,reporting
how do earthquakes happen,out_of_scope,out_of_scope,,,,reject
tell me about space exploration,out_of_scope,out_of_scope,,,,reject
analyze cpu consumption trends,investigate,investigate,resource_quota,,,diagnostic
summarize the on-call handoff notes,summarization,summarization,release_notes,,,reporting
how do I make candles at home,out_of_scope,out_of_scope,,,,reject
summarize deployment timeline,summarization,summarization,deployment,,,reporting
provide a summary of the api versioning status,summarization,summarization,api,,,reporting
what is psychology,out_of_scope,out_of_scope,logs,,,reject
update the dns records for the new ip,execution,execution,dns,,,action
scale the kafka cluster to add two more brokers,execution,execution,kubernetes_cluster,,,action
how do I brew beer at home,out_of_scope,out_of_scope,,,,reject
optimize the server-side tls handshake settings,execution,execution,tls,tls_handshake_failure,,action
tell me about the golden gate bridge,out_of_scope,out_of_scope,message_queue,,,reject
investigate the memory pressure alerts on worker nodes,investigate,investigate,kubernetes_node,,,diagnostic
apply the upstream load balancing weight change,execution,execution,dns,,,action
configure the cifs share with the new permissions,execution,execution,message_queue,,,action
configure the flux reconciliation interval,execution,execution,flux,,,action
what is causing the flapping network route,investigate,investigate,network_policy,,,diagnostic
what is the largest mammal in the ocean,out_of_scope,out_of_scope,,,,reject
update the ip allowlist on the security group,execution,out_of_scope,,,,reject
apply security patch on db-server-7,execution,execution,database,,,action
configure the remote backend for terraform,execution,execution,message_queue,,,action
who is sigmund freud,out_of_scope,out_of_scope,kubernetes_node,,,reject
what is the history of the piano,out_of_scope,out_of_scope,,,,reject
why is the storage volume mounting as read-only,investigate,investigate,storage,,,diagnostic
tell me about pandas,out_of_scope,out_of_scope,,,,reject
what caused the connection pool to drain,investigate,investigate,connection_pool,,,diagnostic
who invented calculus,out_of_scope,out_of_scope,,,,reject
how do I sew,out_of_scope,out_of_scope,,,,reject
tell me about the northern lights,out_of_scope,out_of_scope,message_queue,,,reject
summarize the recent alerts and their resolution status,summarization,summarization,alerting,,recent,reporting
run the sast scan on the new code change,execution,out_of_scope,,,,reject
what is causing the worker pool to deadlock,investigate,investigate,connection_pool,,,diagnostic
how do I play chess,out_of_scope,out_of_scope,,,,reject
investigate the token validation failures on the api,investigate,investigate,api,failure,,diagnostic
provide a recap of the operational maturity assessments,summarization,summarization,message_queue,,,reporting
what is antimatter,out_of_scope,out_of_scope,kubernetes_node,,,reject
summarize the impact of last week outage,summarization,summarization,message_queue,,last_week,reporting
check why the helm release is stuck in pending upgrade,investigate,investigate,health_check,,,diagnostic
analyze the tombstone accumulation in the database,investigate,investigate,database,,,diagnostic
why is the load balancer session persistence broken,investigate,investigate,load_balancer,,,diagnostic
enroll the new host in the certificate authority,execution,execution,certificate,,,action
investigate the mismatch in reported vs actual disk usage,investigate,investigate,disk_io,,,diagnostic
why is the garbage collector pausing for 500ms,investigate,out_of_scope,,,,reject
why is the circuit breaker in open state,investigate,investigate,circuit_breaker,,,diagnostic
how do I make my own perfume,out_of_scope,out_of_scope,,,,reject
check the connection refused errors on port 5432,investigate,investigate,connection_pool,error,,diagnostic
give me an overview of the error budget consumption,summarization,summarization,error_budget,error,,reporting
apply the pod security policy changes,execution,execution,pod,,,action
investigate the sudden increase in 404 errors,investigate,investigate,message_queue,error,,diagnostic
enable the apparmor policy on the workload pod,execution,execution,pod,,,action
what caused the message ordering to break,investigate,investigate,message_queue,,,diagnostic
why is the distributed join causing cross-node traffic,investigate,investigate,kubernetes_node,,,diagnostic
why are containers crashing,investigate,investigate,,crash,,diagnostic
how do I make pottery,out_of_scope,out_of_scope,,,,reject
update the health check thresholds on the target group,execution,execution,health_check,,,action
why is the application not reading the updated configmap,investigate,out_of_scope,,,,reject
what caused the job to exceed its resource quota,investigate,investigate,resource_quota,,,diagnostic
summarize the workload autoscaling behavior this week,summarization,summarization,message_queue,,this_week,reporting
what is the deepest lake in the world,out_of_scope,out_of_scope,,,,reject
analyze why response time increased,investigate,investigate,incident,,,diagnostic
restart the varnish cache after config change,execution,execution,cache,,,action
tell me about the ottoman empire,out_of_scope,out_of_scope,message_queue,,,reject
enable query caching on the database,execution,execution,database,,,action
provide a brief on the kafka topic partition distribution,summarization,summarization,kafka,,,reporting
what is radioactivity,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a recap of the secrets rotation audit,summarization,summarization,certificate,,,reporting
configure the proxy buffer size for large responses,execution,execution,reverse_proxy,,,action
enable the ldap group sync for the service,execution,execution,service,,,action
investigate the hot spot in the key-value store,investigate,out_of_scope,,,,reject
how do I learn how to sew clothes,out_of_scope,out_of_scope,,,,reject
summarize the error logs,summarization,summarization,logs,error,,reporting
give me an overview of the log-based metric trends,summarization,summarization,logs,,,reporting
give me uptime summary,summarization,out_of_scope,,,,reject
restart nginx on host123,execution,execution,pod,,,action
provide a brief on the database performance this month,summarization,summarization,database,,,reporting
summarize the access request audit for the past month,summarization,out_of_scope,,,past_month,reject
how do I fix a leaky faucet,out_of_scope,out_of_scope,,leak,,reject
check what went wrong,investigate,investigate,health_check,,,diagnostic
give me a summary of the runtime crash trends,summarization,summarization,cost_trends,crash,,reporting
why is the user session being invalidated unexpectedly,investigate,investigate,message_ack,,,diagnostic
investigate the request being routed to a terminating pod,investigate,investigate,pod,,,diagnostic
push the signed container image to the registry,execution,execution,container_image,,,action
provide a brief on the mean time to detect this sprint,summarization,summarization,message_queue,,,reporting
what is chemistry,out_of_scope,out_of_scope,kubernetes_node,,,reject
enable the audit log policy on the api server,execution,execution,api,,,action
analyze the slow startup time of the service,investigate,investigate,service,slow,,diagnostic
provide a recap of the cost optimization initiatives,summarization,summarization,cost_trends,,,reporting
what is genetics,out_of_scope,out_of_scope,kubernetes_node,,,reject
summarize backup status,summarization,summarization,backup,,,reporting
why is load balancer unhealthy,investigate,investigate,load_balancer,,,diagnostic
why is the deployment rollout stuck,investigate,investigate,deployment,,,diagnostic
analyze exception logs,investigate,investigate,logs,,,diagnostic
rebuild the corrupted index on the users table,execution,execution,message_queue,,,action
why is the read cache not warming up as expected,investigate,investigate,cache,,,diagnostic
what is the doppler effect,out_of_scope,out_of_scope,,,,reject
provide an overview of the resource quota usage by namespace,summarization,summarization,namespace,,,reporting
stop the runaway data export job,execution,execution,cron_job,,,action
what is blockchain,out_of_scope,out_of_scope,kubernetes_node,,,reject
analyze the packet fragmentation on the uplink,investigate,investigate,message_queue,,,diagnostic
configure the md raid rebuild priority,execution,execution,message_queue,,,action
provide a recap of the kubernetes event anomalies,summarization,summarization,cost_anomalies,,,reporting
set the jvm heap size to 8gb and restart,execution,execution,message_queue,,,action
rotate the iam role credentials for the batch job,execution,execution,batch_job,,,action
investigate the missing pod metrics from the scraper,investigate,investigate,pod,,,diagnostic
tell me about furniture,out_of_scope,out_of_scope,,,,reject
restart application server,execution,execution,metrics_server,,,action
apply the virtual service retry policy,execution,execution,service,,,action
check why the multi-region failover is taking too long,investigate,investigate,health_check,failure,,diagnostic
what caused the memory oom on worker-node-4,investigate,investigate,kubernetes_node,,,diagnostic
check why jobs are failing silently in the queue,investigate,investigate,message_queue,failure,,diagnostic
tell me about dolphins,out_of_scope,out_of_scope,,,,reject
who wrote gulliver travels,out_of_scope,out_of_scope,,,,reject
check for anomalies in metrics,investigate,investigate,metrics,,,diagnostic
why is the background job worker deadlocking,investigate,out_of_scope,,,,reject
summarize the observability maturity assessment results,summarization,summarization,observability_stack,,,reporting
what countries border france,out_of_scope,out_of_scope,,,,reject
mount the backup volume in read-only mode,execution,execution,backup,,,action
enable the kubernetes event exporter,execution,execution,kubernetes_node,,,action
how is silk produced,out_of_scope,out_of_scope,kubernetes_node,,,reject
restart log aggregator,execution,execution,logs,,,action
apply the priority class to the critical workloads,execution,out_of_scope,,,,reject
enable the cross-zone load balancing,execution,execution,load_test,,,action
how do I make soy candles,out_of_scope,out_of_scope,,,,reject
who is albert einstein,out_of_scope,out_of_scope,kubernetes_node,,,reject
how do I skateboard,out_of_scope,out_of_scope,,,,reject
